country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,17586073,18415307,19021226,19496836,19987071,20595360,21347782,22202806,23116142,24018682,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536,30551674
Albania,3357858,3341043,3331317,3325456,3317941,3304948,3286084,3263596,3239385,3216197,3196130,3179573,3166222,3156608,3151185,3150143,3153883,3162083,3173271
Algeria,29315463,29845208,30345466,30820435,31276295,31719449,32150198,32572977,33003442,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705,39208194
American Samoa,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58652,57919,57053,56245,55636,55274,55128,55165
Andorra,63854,64274,64090,63799,64084,65399,68000,71639,75643,79060,81223,81877,81292,79969,78659,77907,77865,78360,79218
Angola,12104952,12451945,12791388,13137542,13510616,13924930,14385283,14886574,15421075,15976715,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525,21471618
Anguilla,9807,10063,10305,10545,10797,11071,11371,11693,12023,12342,12637,12903,13145,13365,13571,13768,13956,14132,14300
Antigua and Barbuda,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85349,86300,87233,88152,89069,89985
Argentina,34833168,35264070,35690778,36109342,36514558,36903067,37273361,37627545,37970411,38308779,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927,41446246
Armenia,3223173,3173425,3137652,3112958,3093820,3076098,3059960,3047002,3036032,3025652,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081,2976566
Aruba,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101219,101344,101418,101597,101932,102384,102911
Australia,18124234,18339037,18563442,18794552,19027438,19259377,19487257,19714625,19953121,20218481,20520736,20865583,21246274,21645095,22037143,22404488,22740536,23050471,23342553
Austria,7985372,8009345,8014124,8009051,8007843,8020262,8049440,8091804,8142322,8193157,8238604,8277393,8311463,8342129,8371711,8401924,8432890,8463948,8495145
Azerbaijan,7770806,7852273,7921745,7984460,8047936,8117742,8195427,8279768,8370169,8465127,8563398,8665006,8770122,8877669,8986266,9094718,9202432,9308959,9413420
Bahamas,280050,283678,286845,289926,293442,297759,303005,309039,315624,322400,329088,335622,342049,348340,354492,360498,366331,371960,377374
Bahrain,563730,579697,597400,617537,640913,668239,698749,732541,772058,820505,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827,1332171
Bangladesh,119869585,122400896,124945315,127478524,129966823,132383265,134729503,137006279,139185986,141235035,143135180,144868702,146457067,147969967,149503100,151125475,152862431,154695368,156594962
Barbados,263165,263884,264606,265370,266220,267190,268296,269524,270844,272205,273568,274923,276277,277634,279006,280396,281804,283221,284644
Belarus,10189075,10156258,10120556,10080772,10034775,9981460,9920173,9852866,9784111,9719991,9664714,9620359,9585368,9555801,9525785,9491070,9450391,9405097,9356678
Belgium,10161914,10186767,10205970,10222896,10242449,10268380,10300775,10338969,10384953,10440977,10508080,10587731,10678058,10772572,10862441,10941288,11006632,11060095,11104476
Belize,206962,212375,218484,225083,231860,238586,245198,251766,258346,265040,271920,278985,286196,293544,301016,308595,316280,324060,331900
Benin,5985658,6176318,6361301,6546493,6740491,6949366,7174911,7414744,7665681,7922796,8182362,8443671,8707490,8973293,9240783,9509798,9779795,10050702,10323474
Bermuda,61407,61703,61992,62276,62557,62837,63116,63393,63661,63911,64137,64337,64512,64667,64812,64951,65086,65216,65341
Bhutan,509105,512594,521146,533737,548599,564350,580888,598455,616383,633893,650417,665568,679365,692159,704542,716939,729429,741822,753947
Bolivia (Plurinational State of),7635362,7806953,7978521,8150214,8322408,8495271,8669066,8843350,9016787,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285,10671200
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17616,18194,18694,19130
Bosnia and Herzegovina,3520996,3485575,3535998,3640821,3752004,3834364,3879353,3897579,3895779,3886723,3879828,3875157,3868665,3861201,3853446,3845929,3839322,3833916,3829307
Botswana,1583453,1620989,1657349,1692148,1724924,1755375,1783349,1808976,1832602,1854739,1875805,1895944,1915187,1933719,1951715,1969341,1986701,2003910,2021144
Brazil,161890816,164392423,166925457,169472347,172006362,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154,196935134,198656019,200361925
British Virgin Islands,18425,18834,19270,19726,20186,20643,21084,21518,21982,22522,23169,23942,24815,25716,26542,27223,27730,28088,28341
Brunei Darussalam,295003,302511,309904,317214,324501,331801,339114,346407,353649,360797,367815,374697,381440,388017,394400,400569,406512,412238,417784
Bulgaria,8358116,8274592,8199715,8131424,8065947,8000510,7934973,7870488,7806995,7744575,7683264,7622852,7563141,7504206,7446197,7389175,7333122,7277831,7222943
Burkina Faso,10089876,10372562,10664982,10967836,11281942,11607944,11946080,12296399,12659086,13034258,13421929,13822257,14235075,14659646,15094967,15540284,15995313,16460141,16934839
Burundi,6209923,6294482,6369573,6447672,6545273,6674286,6839376,7037727,7264340,7510771,7770392,8042579,8328312,8624280,8926687,9232753,9540362,9849569,10162532
Cabo Verde,399477,408790,417562,425932,434168,442426,450812,459140,466939,473577,478651,481940,483713,484651,485714,487601,490556,494401,498897
Cambodia,10769198,11090611,11395958,11685332,11960467,12222871,12472586,12709336,12934369,13149386,13356424,13555054,13747288,13940518,14144225,14364931,14605862,14864646,15135169
Cameroon,13929575,14316949,14709426,15107909,15513653,15927713,16350440,16782044,17223277,17674960,18137734,18611937,19097676,19595026,20103945,20624343,21156272,21699631,22253959
Canada,29294899,29586368,29866502,30140562,30415664,30697425,30986788,31283746,31591631,31914080,32253092,32610984,32985806,33369898,33752618,34126240,34487414,34837978,35181704
Cayman Islands,31672,33535,35596,37742,39810,41685,43317,44742,46032,47299,48623,50026,51472,52912,54275,55509,56601,57570,58435
Central African Republic,3275695,3350299,3424733,3498140,3569523,3638316,3704045,3767248,3829636,3893595,3960897,4032102,4106897,4185106,4266247,4349921,4436217,4525209,4616417
Chad,6980351,7216321,7463347,7724316,8002899,8301151,8620917,8959964,9311234,9665024,10014413,10356822,10694366,11030628,11371325,11720781,12080037,12448175,12825314
Chile,14440103,14662323,14872458,15072409,15265536,15454402,15639289,15819522,15995658,16168241,16337749,16504530,16668892,16831184,16991729,17150760,17308449,17464814,17619708
China,1237531429,1247897092,1257021784,1265222536,1272915272,1280428583,1287890449,1295322020,1302810258,1310414386,1318176835,1326146433,1334343509,1342732604,1351247555,1359821465,1368440300,1377064907,1385566537
"China, Hong Kong SAR",6144498,6275363,6430651,6591717,6732627,6835301,6892752,6912079,6906631,6896523,6896686,6910671,6934748,6967866,7006930,7049514,7096359,7148493,7203836
"China, Macao SAR",398459,405231,412031,418810,425448,431907,438080,444150,450711,458542,468149,479808,493206,507528,521617,534626,546278,556783,566375
Colombia,36573895,37236124,37901358,38568056,39234115,39897984,40558648,41216304,41872051,42527623,43184026,43841370,44498390,45153037,45802561,46444798,47078792,47704427,48321405
Comoros,465895,477548,489627,502128,515028,528312,541976,556028,570491,585389,600733,616526,632736,649291,666097,683081,700216,717503,734917
Congo,2720633,2797572,2878333,2961357,3044444,3126204,3205636,3283719,3363418,3448868,3542867,3646653,3758858,3876475,3995146,4111715,4225359,4337051,4447632
Cook Islands,18305,18244,18093,17915,17806,17826,18003,18308,18690,19072,19399,19656,19858,20016,20153,20284,20409,20523,20629
Costa Rica,3478197,3566605,3658020,3750585,3841734,3929588,4013488,4093840,4171145,4246336,4320130,4392493,4463226,4532711,4601424,4669685,4737680,4805295,4872166
Côte d'Ivoire,14217430,14632391,15042149,15436470,15802248,16131332,16420173,16674987,16909801,17144325,17393994,17662417,17949061,18260044,18601342,18976588,19389954,19839750,20316086
Croatia,4690192,4647843,4601596,4554877,4511766,4475201,4446789,4426098,4411370,4399706,4388857,4378601,4369337,4360126,4349930,4338027,4323822,4307422,4289714
Cuba,10932013,10980758,11024249,11063917,11101580,11138416,11175465,11212125,11245926,11273363,11292078,11301100,11301674,11296355,11288826,11281768,11276053,11270957,11265629
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147560,151523,155293,158760
Cyprus,855389,873246,890733,908040,925491,943287,961481,979877,998142,1015820,1032586,1048314,1063095,1077089,1090553,1103685,1116513,1128994,1141166
Czech Republic,10339223,10327823,10311228,10291153,10270096,10250398,10231435,10214070,10203846,10207862,10230683,10274906,10337782,10411836,10486434,10553701,10611037,10660051,10702197
Democratic People's Republic of Korea,21763678,22016518,22240833,22444993,22641754,22840225,23043449,23248059,23449180,23639303,23813333,23969917,24111989,24243894,24371865,24500520,24631291,24763188,24895480
Democratic Republic of the Congo,42012524,43122601,44078397,44960941,45889100,46949244,48167045,49516960,50972323,52487293,54028003,55590838,57187942,58819038,60486276,62191161,63931512,65705093,67513677
Denmark,5232582,5254383,5276683,5298680,5319410,5338283,5354684,5368994,5382853,5398558,5417692,5440923,5467551,5496104,5524427,5550959,5575237,5597760,5619096
Djibouti,663999,675891,687897,699922,711652,722887,733732,744434,755085,765776,776585,787544,798690,810100,821865,834036,846646,859652,872932
Dominica,71367,71146,70756,70295,69902,69679,69660,69806,70058,70325,70542,70690,70795,70883,70996,71167,71401,71684,72003
Dominican Republic,7977966,8118570,8256496,8392534,8527881,8663421,8799298,8935261,9071318,9207389,9343362,9479269,9615015,9750195,9884265,10016797,10147598,10276621,10403761
Ecuador,11315800,11557151,11799289,12042454,12286995,12533087,12780869,13030041,13279806,13529091,13777131,14023503,14268397,14512402,14756424,15001072,15246481,15492264,15737878
Egypt,61168397,62123592,63094069,64084443,65097777,66136590,67204189,68302914,69432477,70591288,71777678,72990754,74229577,75491922,76775023,78075705,79392466,80721874,82056378
El Salvador,5748013,5806750,5855226,5895018,5928809,5958794,5985299,6008308,6029366,6050297,6072538,6096692,6122952,6151776,6183484,6218195,6256242,6297394,6340454
Equatorial Guinea,441829,456389,471288,486542,502169,518179,534592,551399,568552,585983,603648,621517,639618,658025,676851,696167,715996,736296,757014
Eritrea,3407812,3473399,3560353,3668350,3795384,3939348,4101609,4281576,4472533,4665522,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922,6333135
Estonia,1433076,1412522,1397071,1385531,1375744,1366117,1356549,1347674,1339453,1331928,1325112,1318893,1313138,1307827,1302965,1298533,1294498,1290778,1287251
Ethiopia,57023519,58815116,60584273,62353942,64158887,66024199,67956866,69948344,71989666,74066147,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849,94100756
Fiji,775587,784647,793098,800616,806857,811647,814700,816237,817224,818995,822484,828060,835392,843851,852479,860559,867921,874742,881065
Finland,5108176,5126021,5140755,5153229,5164780,5176482,5188330,5200259,5213213,5228340,5246368,5267817,5292261,5318297,5343927,5367693,5389084,5408466,5426323
France,58008958,58216225,58418324,58635564,58894671,59213096,59600714,60047743,60527640,61002537,61444972,61845239,62210877,62552614,62888318,63230866,63582112,63936575,64291280
French Polynesia,215200,219282,223734,228380,232956,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065,270874,273814,276831
Gabon,1080477,1108698,1137412,1166525,1195919,1225527,1255299,1285318,1315820,1347125,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572,1671711
Gambia,1065746,1095930,1126986,1159271,1193143,1228863,1266691,1306667,1348548,1391934,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225,1849285
Georgia,5067143,4990097,4922489,4861848,4803312,4743591,4682290,4621837,4564938,4515280,4475306,4446032,4426077,4412502,4401093,4388674,4374226,4358242,4340895
Germany,83147770,83388930,83490697,83500716,83490881,83512459,83583461,83685160,83788480,83848844,83835978,83740302,83578794,83379538,83182774,83017404,82892904,82800121,82726626
Ghana,16760926,17169151,17568461,17968830,18384302,18825034,19293392,19786307,20301686,20835514,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462,25904598
Greece,10671809,10758368,10833632,10896763,10947724,10986883,11012931,11026358,11031728,11035302,11041642,11052514,11066884,11083063,11098149,11109999,11118556,11124639,11127990
Greenland,55809,55832,55876,55948,56049,56174,56337,56534,56732,56881,56953,56925,56817,56675,56569,56546,56626,56787,56987
Grenada,100253,100796,101125,101302,101441,101620,101849,102099,102369,102655,102951,103260,103586,103932,104296,104677,105074,105483,105897
Guam,145562,148060,150306,152275,153951,155328,156417,157241,157823,158194,158401,158429,158331,158310,158621,159440,160858,162810,165124
Guatemala,9983861,10214623,10449636,10691090,10941913,11204183,11478984,11765738,12062835,12367800,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831,15468203
Guinea,7837173,8094751,8296478,8457221,8600911,8746128,8895353,9045748,9204581,9379621,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273,11745189
Guinea-Bissau,1139667,1165465,1191672,1218336,1245530,1273312,1301748,1330849,1360559,1390791,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558,1704255
Guyana,728136,730865,734059,737526,741046,744471,747657,750629,753612,756939,760834,765367,770407,775739,781055,786126,790882,795369,799613
Haiti,7838241,7986858,8136372,8285690,8433339,8578234,8720247,8859635,8996229,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775,10317461
Honduras,5591935,5723639,5852719,5980152,6107385,6235561,6365040,6495801,6628171,6762426,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846,8097688
Hungary,10351994,10334876,10311227,10282937,10253110,10224113,10196130,10168591,10142243,10117872,10095964,10077017,10060786,10046058,10031096,10014633,9996227,9976195,9954941
Iceland,267454,270089,272798,275568,278376,281214,284056,286929,289925,293170,296745,300693,304957,309394,313804,318042,322052,325867,329535
India,955804355,973147577,990460131,1007746556,1025014711,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732,1252139596
Indonesia,194112556,197097887,200050444,202990922,205946831,208938698,211970371,215038285,218145617,221293797,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191,249865631
Iran (Islamic Republic of),60468352,61440887,62542531,63713397,64858754,65911052,66857624,67727274,68543171,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443,77447168
Iraq,20363138,21017108,21693597,22387179,23091408,23801156,24516842,25238267,25959531,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31837015,32778030,33765232
Ireland,3610918,3638411,3669799,3706616,3750879,3803741,3865839,3935875,4010652,4085790,4158002,4226104,4290537,4351657,4410422,4467561,4522844,4575890,4627173
Israel,5331622,5486219,5630066,5764197,5891263,6013711,6129590,6238958,6348782,6468354,6603677,6758761,6930068,7106828,7273804,7420368,7542327,7643905,7733144
Italy,56967071,56937309,56887127,56850303,56872736,56986085,57200233,57501450,57868021,58267068,58671855,59078271,59485505,59873820,60220314,60508978,60729316,60884593,60990277
Jamaica,2462051,2485230,2509439,2534127,2558579,2582219,2604946,2626716,2647116,2665680,2682149,2696227,2708152,2718862,2729660,2741485,2754669,2768941,2783888
Japan,124483305,124794906,125048712,125266855,125481436,125714674,125973930,126249090,126523597,126772899,126978754,127136020,127248855,127319434,127352872,127352833,127319206,127249704,127143577
Jordan,4320158,4450852,4551911,4630762,4699278,4767476,4835108,4902974,4983508,5092185,5239417,5428896,5655856,5911202,6181307,6454554,6731151,7009444,7273799
Kazakhstan,15549632,15326132,15085965,14858241,14679568,14575644,14559255,14623188,14747754,14902452,15064088,15227211,15396045,15568294,15743552,15921127,16097998,16271201,16440586
Kenya,27418077,28186224,28943647,29702246,30478597,31285050,32126351,33000524,33905011,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141,44353691
Kiribati,76378,77511,78725,80018,81377,82788,84261,85799,87371,88936,90468,91953,93401,94832,96272,97743,99250,100786,102351
Kuwait,1586123,1585244,1635999,1722208,1818405,1906231,1980604,2048232,2116353,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496,3368572
Kyrgyzstan,4592135,4658815,4739263,4823870,4898865,4954850,4988162,5003394,5009453,5019310,5042381,5081620,5134297,5197274,5265218,5334223,5403419,5474213,5547548
Lao People's Democratic Republic,4871472,4986592,5096724,5200898,5298146,5388281,5470169,5545245,5619069,5699112,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827,6769727
Latvia,2487988,2458305,2434628,2414650,2394521,2371481,2345309,2317261,2287780,2257647,2227559,2197359,2167157,2138258,2112337,2090519,2073385,2060428,2050317
Lebanon,3033406,3070984,3092718,3114014,3156706,3235380,3357600,3515604,3690110,3853582,3986865,4079823,4139813,4186088,4246924,4341092,4478105,4647079,4821971
